crop_id,phase,high_yield_above,inc_N_yield,inc_N_low_SOM,inc_N_low_vigor,inc_N_grassed,inc_N_rain_surplus,inc_N_straw_burial,inc_N_adverse_climate,inc_N_compacted_no_till,inc_N_higher_demand,inc_N_high_density,inc_N_grasses,inc_N_dual_season,inc_N_max,inc_P2O5_yield,inc_P2O5_low_SOM,inc_P2O5_early_sowing,inc_P2O5_continuous_crop,inc_P2O5_high_active_carbonate,inc_P2O5_dual_season,inc_P2O5_max,inc_K2O_yield,inc_K2O_unfertilised_or_late_cv,inc_K2O_low_SOM,inc_K2O_dual_season,inc_K2O_storage_industrial_cv,inc_K2O_max
O2,nd,9.0,25.0,20.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,10.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,30.0
O3,nd,12.0,25.0,20.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,10.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,30.0
O4,nd,24.0,30.0,20.0,0.0,0.0,15.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,15.0,10.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,15.0
O5,nd,60.0,0.0,20.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O6,nd,30.0,20.0,20.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,20.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0
O7,nd,30.0,0.0,20.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,20.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0
O8,nd,30.0,0.0,20.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,20.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0
O9,nd,40.0,0.0,20.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,20.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0
O10,nd,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
O11,nd,24.0,20.0,20.0,0.0,0.0,15.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0,50.0,20.0,10.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,20.0
O12,nd,35.0,20.0,20.0,0.0,0.0,15.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0,50.0,20.0,10.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,20.0
O13,nd,32.0,25.0,20.0,0.0,0.0,15.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,15.0,10.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,0.0,0.0,0.0,30.0
