id,crop_id,crop,N,P2O5,K2O,balance,reference_yield,std_N_demand,std_P2O5_demand,std_K2O_demand,harvested_part
53.0,E20,Grano tenero biscottiero  (granella),2.81,0.98,0.61,sì,6.0,168.6,58.8,36.6,granella
54.0,E21,Grano tenero biscottiero pianta intera,2.81,1.19,2.29,sì,6.0,168.6,71.39999999999999,137.4,granella + residui
55.0,E22,Grano tenero FF (granella),3.11,0.87,0.53,sì,6.0,186.6,52.199999999999996,31.8,granella
56.0,E23,Grano tenero FF (pianta intera),3.11,1.06,1.99,sì,6.0,186.6,63.6,119.39999999999999,granella + residui
57.0,E24,Lenticchia,4.21,0.95,1.22,sì,,,,,granella
58.0,E25,Lino  fibra,2.59,1.8,3.2,sì,,,,,pianta intera
59.0,E26,Lino granella,3.63,1.4,1.3,sì,,,,,granella
60.0,E27,Lupino,4.3,1.0,4.4,sì,,,,,granella
61.0,E28,Mais da granella 300-400 (granella),2.27,0.69,0.38,sì,7.0,158.9,48.3,26.6,granella
62.0,E29,Mais da granella 300-400 (pianta intera),2.27,1.0,2.23,sì,7.0,158.9,70.0,156.1,granella + residui
63.0,E30,Mais da granella 500-700 (granella),2.27,0.69,0.38,sì,12.0,272.40000000000003,82.8,45.60000000000001,granella
64.0,E31,Mais da granella 500-700 (pianta intera),2.27,1.0,2.23,sì,12.0,272.40000000000003,120.0,267.59999999999997,granella + residui
65.0,E32,Mais dolce  (spighe),1.42,0.42,0.23,sì,16.0,227.2,67.2,36.800000000000004,spighe
66.0,E33,Mais dolce (pianta intera),1.42,0.54,0.98,sì,16.0,227.2,86.4,156.8,spighe + residui
67.0,E34,Mais trinciato classe 500,0.39,0.15,0.33,sì,45.0,175.5,67.5,148.5,pianta intera
68.0,E35,Mais trinciato classe 700,0.39,0.15,0.33,sì,65.0,253.5,97.5,214.5,pianta intera
69.0,E36,Orzo (granella),2.24,0.8,0.52,sì,6.5,145.60000000000002,52.0,33.8,granella
70.0,E37,Orzo (pianta intera),2.24,0.98,1.89,sì,6.5,145.60000000000002,63.7,122.85,granella + residui
71.0,E38,Panico,1.49,0.39,1.79,sì,,,,,granella
72.0,E39,Pisello proteico,4.55,0.88,1.28,sì,5.0,227.5,44.0,64.0,granella
73.0,E40,Pisello proteico + residui,4.55,1.16,4.23,sì,5.0,227.5,58.0,211.50000000000003,granellam + residui
74.0,E41,Rafano (da sovescio),0.13,0.09,0.44,sì,,,,,pianta intera
75.0,E42,Riso (granella),2.03,0.7,0.55,sì,7.0,142.1,48.99999999999999,38.50000000000001,granella
76.0,E43,Riso (granella+paglia),2.03,0.92,2.07,sì,7.0,142.1,64.4,144.89999999999998,granella + paglia
77.0,E44,Segale (granella),2.78,0.7,0.5,sì,4.0,111.19999999999999,28.0,20.0,granella
78.0,E45,Segale pianta intera,2.78,1.23,3.11,sì,4.0,111.19999999999999,49.2,124.39999999999999,granella + paglia
79.0,E46,Senape indiana,6.91,,,no,,,,,semi
80.0,E47,Soia (granella),6.3,1.36,2.01,sì,3.5,220.5,47.60000000000001,70.35,granella
81.0,E48,Soia (pianta intera),6.3,1.76,3.05,sì,3.5,220.5,61.6,106.74999999999999,granella + residui
82.0,E49,Sorgo da foraggio,0.3,0.1,0.35,sì,,,,,pianta intera trinciata o verde
83.0,E50,Sorgo da granella  (solo granella),2.47,0.73,0.43,sì,7.5,185.25000000000003,54.75,32.25,granella
84.0,E51,Sorgo da granella (pianta intera),2.47,0.95,1.57,sì,7.5,185.25000000000003,71.25,117.75,granella + residui
85.0,E52,Tabacco Bright,2.62,0.6,3.5,sì,,,,,
86.0,E53,Tabacco Bright pianta intera,2.62,1.04,4.09,sì,,,,,
87.0,E54,Tabacco Burley,3.71,0.3,3.7,sì,,,,,
88.0,E55,Tabacco Burley pianta intera,3.71,0.62,5.11,sì,,,,,
89.0,E56,Triticale,2.54,0.7,0.5,sì,7.5,190.5,52.5,37.5,granella
90.0,E57,Triticale pianta intera,2.54,1.1,3.0,sì,7.5,190.5,82.5,225.0,granella + paglia
91.0,F1,Avena insilata,0.46,0.2015,0.4744999999999999,sì,14.76923076923077,67.93846153846155,29.760000000000005,70.07999999999998,pianta trinciata
92.0,F2,Colza insilato,0.94,0.402093023255814,1.1881395348837214,sì,16.538461538461537,155.46153846153845,66.5,196.50000000000006,pianta trinciata
93.0,F3,Erba mazzolina,1.89,0.47,2.81,sì,12.5,,,,fieno
94.0,F4,Erba medica,2.06,0.53,2.03,sì,12.5,,,,fieno
95.0,F5,Erbai aut prim. Di cer. O cruc.,1.36,0.65,1.22,sì,11.0,149.60000000000002,71.5,134.2,fieno
96.0,F6,Erbai aut prim. Di leguminose,0.68,0.27,1.08,sì,25.0,170.0,67.5,270.0,foraggio verde
97.0,F7,Erbai biennali o Prati avv. di Graminacee,2.07,0.55,2.45,sì,,,,,fieno
